Grade,Subject,Category,Unit,Standard Code,Standard Description,Internet Resources,Apps,Videos
1,English Language Arts,Reading Literary,Key Ideas and Details,ELACC1RL1,Ask and answer questions about key details in a text.,http://www.readwritethink.org/classroom-resources/student-interactives/book-cover-creator-30058.html,http://www.readwritethink.org/classroom-resources/student-interactives/book-cover-creator-30058.html,
1,English Language Arts,Reading Literary,Key Ideas and Details,ELACC1RL2,"Retell stories, including key details, and demonstrate understanding of their central message or lesson.",http://www.storyjumper.com/,https://itunes.apple.com/us/app/storykit/id329374595?mt=8,
1,English Language Arts,Reading Literary,Key Ideas and Details,ELACC1RL2,"Retell stories, including key details, and demonstrate understanding of their central message or lesson.",,http://ipresentonline.com/,
1,English Language Arts,Reading Literary,Key Ideas and Details,ELACC1RL3,"Describe characters, settings, and major events in a story, using ",http://www.brainpopjr.com/readingandwriting/storyelements/,https://itunes.apple.com/us/app/screenchomp/id442415881?mt=8,
1,English Language Arts,Reading Literary,Craft and Structure,ELACC1RL4,Identify words and phrases in stories or poems that suggest feelings or appeal to the senses.,http://www.gigglepoetry.com/,https://itunes.apple.com/us/app/1st-grade-reading-i-like-writing/id435636101?mt=8,
1,English Language Arts,Reading Literary,Craft and Structure,ELACC1RL5,"Explain major differences between books that tell stories and books that give information, drawing on a wide reading of a range of text ",http://more2.starfall.com/n/level-c/fiction-nonfiction/load.htm?f&filter=first,https://itunes.apple.com/us/app/booksy-learn-to-read-platform/id454984042?mt=8,
1,English Language Arts,Reading Literary,Craft and Structure,ELACC1RL6,Identify who is telling the story at various points in a text.,http://www.studyzone.org/testprep/ela4/o/maintainpointl.cfm,https://itunes.apple.com/us/app/subtext/id457556753?mt=8&affId=1503186,
1,English Language Arts,Reading Literary,Integration of Knowledge and Ideas,ELACC1RL7,"Use illustrations and details in a story to describe its characters, setting, or events.",http://www.readwritethink.org/files/resources/interactives/comic/,https://itunes.apple.com/us/app/educreations-interactive-whiteboard/id478617061?mt=8,
1,English Language Arts,Reading Literary,Integration of Knowledge and Ideas,ELACC1RL7,"Use illustrations and details in a story to describe its characters, setting, or events.",,https://itunes.apple.com/us/app/showme-interactive-whiteboard/id445066279?mt=8,
1,English Language Arts,Reading Literary,Integration of Knowledge and Ideas,ELACC1RL8,(Not applicable to literature),,,
1,English Language Arts,Reading Literary,Integration of Knowledge and Ideas,ELACC1RL9,Compare and contrast the adventures and experiences of characters in stories.,http://www.readwritethink.org/,https://itunes.apple.com/us/app/1st-grade-reading-i-like-writing/id435636101?mt=8,
1,English Language Arts,Reading Literary,Range of Reading and Level of Text Complexity,ELACC1RL10,"With prompting and support, read prose and poetry of appropriate complexity for grade 1.",http://www.gigglepoetry.com/,https://itunes.apple.com/app/word-mover/id572997152?mt=8,
7,Math,,Ratios & Proportional Relationships,MCC7.RP.1 ,"Compute unit rates associated with ratios of fractions, including ratios of lengths, areas and other quantities measured in like or different units.",http://learnzillion.com/lessons/867-find-unit-rates-in-situations-involving-fractions,https://itunes.apple.com/us/app/algebra-touch/id384354262?mt=8,
7,Math,,Ratios & Proportional Relationships,MCC7.RP.1 ,"Compute unit rates associated with ratios of fractions, including ratios of lengths, areas and other quantities measured in like or different units.",http://learnzillion.com/lessons/646-using-unit-rates-to-interpret-scale-maps-and-scale-models,https://itunes.apple.com/us/app/grade-7-!!!/id537306247?mt=8,
7,Math,,Ratios & Proportional Relationships,MCC7.RP.2 ,Recognize and represent proportional relationships between quantities.,,,
7,Math,,Ratios & Proportional Relationships,MCC7.RP.2.a,Decided whether two quantities are in a proportional relationship,http://www.watchknowlearn.org/Category.aspx?CategoryID=4801,https://itunes.apple.com/us/app/fraction-basics/id404527208?mt=8,
7,Math,,Ratios & Proportional Relationships,MCC7.RP.2.a,Decided whether two quantities are in a proportional relationship,http://learnzillion.com/lessons/871-determine-whether-2dimensional-shapes-are-similar,https://itunes.apple.com/us/app/fraction-basics/id404527208?mt=8,
7,Math,,Ratios & Proportional Relationships,MCC7.RP.2.b,"Identify the constant of proportionality (unit rate) in tables, graphs, equations, diagrams, and verbal descriptions of proportional relationships.",http://learnzillion.com/lessons/873-identify-the-constant-of-proportionality-in-ratio-tables,https://itunes.apple.com/us/app/mathspace/id586612052?mt=8,
7,Math,,Ratios & Proportional Relationships,MCC7.RP.2.b,"Identify the constant of proportionality (unit rate) in tables, graphs, equations, diagrams, and verbal descriptions of proportional relationships.",http://learnzillion.com/lessons/1873-identify-unit-rates-in-graphs,https://itunes.apple.com/us/app/mathspace/id586612052?mt=8,
7,Math,,Ratios & Proportional Relationships,MCC7.RP.2.c,Represent proportional relationships by equations.,http://learnzillion.com/lessons/1537-write-equations-to-represent-the-proportional-relationship-between-amount-of-change-and-final-amount,https://itunes.apple.com/us/app/algebra-touch/id384354262?mt=8,
7,Math,,Ratios & Proportional Relationships,MCC7.RP.2.c,Represent proportional relationships by equations.,http://www.ixl.com/math/grade-8/write-an-equation-for-a-proportional-relationship,https://itunes.apple.com/us/app/grade-7-!!!/id537306247?mt=8,
7,Math,,Ratios & Proportional Relationships,MCC7.RP.2.d,"Explain what a point (x, y) on a graph of a proportional relationship means in terms of the situation, with special attention to the points (0, 0) and (1, r) where r is the unit rate.",http://illuminations.nctm.org/LessonDetail.aspx?ID=L441,https://itunes.apple.com/us/app/algebra-touch/id384354262?mt=8,
7,Math,,Ratios & Proportional Relationships,MCC7.RP.2.d,"Explain what a point (x, y) on a graph of a proportional relationship means in terms of the situation, with special attention to the points (0, 0) and (1, r) where r is the unit rate.",,https://itunes.apple.com/us/app/grade-7-!!!/id537306247?mt=8,
7,Math,,Ratios & Proportional Relationships,MCC7.RP.3 ,Use proportional relationships to solve multistep ratio and percent problems.,http://learnzillion.com/lessons/878-solve-multistep-percent-problems-using-proportions-and-equations,https://itunes.apple.com/us/app/algebra-touch/id384354262?mt=8,
7,Math,,Ratios & Proportional Relationships,MCC7.RP.3 ,Use proportional relationships to solve multistep ratio and percent problems.,http://learnzillion.com/lessons/881-find-the-percent-of-change-and-what-percent-the-final-amount-is-of-the-original-amount,https://itunes.apple.com/us/app/grade-7-!!!/id537306247?mt=8,
7,Math,,The Number System,MCC7.NS.1 ,Apply and extend previous understanding of addition and subtraction to add and subtract rational numbers; represent addition and subtraction on a horizontal or vertical number line diagram.,,,
7,Math,,The Number System,MCC7.NS.1.a ,Describe situations in which opposite quantities combine to make 0.,http://learnzillion.com/lessons/1697-combine-opposite-quantities-to-make-zero-using-a-number-line,https://itunes.apple.com/us/app/grade-7-!!!/id537306247?mt=8,
7,Math,,The Number System,MCC7.NS.1.a ,Describe situations in which opposite quantities combine to make 0.,http://www.khanacademy.org/math/arithmetic/order-of-operations/arithmetic_properties/v/inverse-property-of-addition,https://itunes.apple.com/us/app/interactive-integers-addition/id461996605?mt=8,
7,Math,,The Number System,MCC7.NS.1.b ,"Understand p + q as the number located a distance |q| from p, in the positive or negative directions depending on whether q is positive or negative. Show that a number and its opposite have a sum of 0 (are additive inverses). Interpret sums of rational numbers by describing real-world contexts.",http://learnzillion.com/lessons/1698-add-integers-using-a-number-line,https://itunes.apple.com/us/app/integers/id538249211?mt=8,
7,Math,,The Number System,MCC7.NS.1.b ,"Understand p + q as the number located a distance |q| from p, in the positive or negative directions depending on whether q is positive or negative. Show that a number and its opposite have a sum of 0 (are additive inverses). Interpret sums of rational numbers by describing real-world contexts.",http://www.khanacademy.org/math/arithmetic/absolute-value/adding_subtracting_negatives/v/adding-integers-with-different-signs,https://itunes.apple.com/us/app/interactive-integers-addition/id461996605?mt=8,
7,Math,,The Number System,MCC7.NS.1.c ,"Understand subtraction of rational numbers as adding the additive inverse, p – q = p + (-q). Show that the different between two rational numbers on the number line is the absolute value of their difference, and apply this principle in real-world contexts.",http://www.brainpop.com/math/numbersandoperations/addingandsubtractingintegers/preview.weml,https://itunes.apple.com/us/app/grade-7-!!!/id537306247?mt=8,
7,Math,,The Number System,MCC7.NS.1.c ,"Understand subtraction of rational numbers as adding the additive inverse, p – q = p + (-q). Show that the different between two rational numbers on the number line is the absolute value of their difference, and apply this principle in real-world contexts.",http://learnzillion.com/lessons/1031-subtract-rational-numbers-in-realworld-contexts,https://itunes.apple.com/us/app/interactive-integers-addition/id461996605?mt=8,
7,Math,,The Number System,MCC7.NS.1.d ,Apply properties of operations as strategies to add and subtract rational numbers.,http://www.khanacademy.org/math/arithmetic/absolute-value/adding_subtracting_negatives/v/why-subtracting-a-negative-equivalent-to-adding-a-positive,https://itunes.apple.com/us/app/grade-7-!!!/id537306247?mt=8,
7,Math,,The Number System,MCC7.NS.1.d ,Apply properties of operations as strategies to add and subtract rational numbers.,http://learnzillion.com/lessons/676-subtract-integers-using-the-take-away-definition-of-subtraction-on-a-number-line,https://itunes.apple.com/us/app/integer-cards/id625986775?mt=8,
7,Math,,The Number System,MCC7.NS.2,Apply and extend previous understandings of multiplication and division and of fractions to multiply and divide rational numbers.,,,
7,Math,,The Number System,MCC7.NS.2.a,"Understand that multiplication is extended from fractions to rational numbers by requiring that operations continue to satisfy the properties of operations, particularly the distributive property, leading to products such as (-1)(-1) = 1 and the rules for multiplying signed numbers. Interpret products of rational numbers by describing real-world contexts.",http://learnzillion.com/lessons/1645-multiply-a-postive-integer-by-a-negative-integer-by-thinking-about-equal-groups,https://itunes.apple.com/us/app/integer/id429139222?mt=8,
7,Math,,The Number System,MCC7.NS.2.a,"Understand that multiplication is extended from fractions to rational numbers by requiring that operations continue to satisfy the properties of operations, particularly the distributive property, leading to products such as (-1)(-1) = 1 and the rules for multiplying signed numbers. Interpret products of rational numbers by describing real-world contexts.",http://learnzillion.com/lessons/706-multiply-a-negative-by-a-negative-using-the-distributive-property,https://itunes.apple.com/us/app/middle-school-math-hd/id439682332?mt=8,
7,Math,,The Number System,MCC7.NS.2.b,"Understand that integers can be divided, provided that the divisor is not zero, and every quotient of integers (with non-zero divisor) is a rational number. If p and q are integers then –(p/q) = (-p)/q = p/(-q). Interpret quotients of rational numbers by describing real-world contexts.",http://learnzillion.com/lessons/1032-divide-integers-using-inverse-operations,https://itunes.apple.com/us/app/integer/id429139222?mt=8,
